Timestamp,Rate each candidate [Katarína Achbergerová],Rate each candidate [Jan Bartůněk],Rate each candidate [Mark Collis],Rate each candidate [Petr Kubát],Rate each candidate [Jan Mikula],Rate each candidate [Adam Petrovič],Rate each candidate [Tomáš Pilař],Rate each candidate [Griffin Trent],Rate each candidate [Marketa Tuláčková],Rate each candidate [Simona Tymichová]
9/24/2021 13:43:48,⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),No opinion,⭐ (1),⭐⭐⭐ (3),⭐⭐ (2),⭐ (1),⭐⭐⭐ (3),No opinion,No opinion
9/24/2021 13:45:08,⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐ (1),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐⭐ (4),⭐ (1),⭐⭐⭐ (3)
9/24/2021 13:45:44,⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐ (2),⭐⭐ (2),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐ (1),⭐ (1),⭐ (1)
9/24/2021 13:51:28,⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5)
9/24/2021 13:52:16,⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐⭐ (3),⭐⭐ (2),⭐ (1),⭐ (1)
9/24/2021 13:57:28,⭐⭐ (2),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐ (1)
9/24/2021 14:00:01,⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/24/2021 14:07:31,⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐ (1),No opinion,⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/24/2021 14:16:41,⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/24/2021 14:52:00,⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐⭐ (5)
9/24/2021 14:59:29,⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5)
9/24/2021 15:29:45,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion,No opinion,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion,No opinion
9/24/2021 15:30:21,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,⭐⭐⭐ (3),No opinion,⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion
9/24/2021 16:09:47,⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐ (4)
9/24/2021 16:41:17,⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐ (1),⭐⭐ (2),⭐⭐ (2),⭐⭐ (2),⭐ (1),⭐⭐⭐⭐ (4)
9/24/2021 18:33:32,⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐ (1),⭐⭐⭐ (3),No opinion,⭐⭐⭐⭐⭐ (5)
9/25/2021 2:23:59,⭐ (1),⭐ (1),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/27/2021 0:24:09,⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐ (2),No opinion,⭐⭐⭐ (3)
9/27/2021 8:27:15,⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐ (4),No opinion,No opinion,No opinion,No opinion,⭐⭐⭐⭐⭐ (5)
9/27/2021 9:29:49,⭐⭐⭐⭐ (4),No opinion,No opinion,No opinion,⭐ (1),⭐⭐⭐⭐⭐ (5),No opinion,⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐ (2)
9/27/2021 9:56:47,⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/27/2021 10:39:39,⭐ (1),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐ (2),No opinion,⭐⭐⭐⭐⭐ (5)
9/27/2021 14:45:32,⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐ (1),⭐ (1)
9/29/2021 9:21:05,⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐⭐ (2),⭐⭐⭐⭐⭐ (5)
9/29/2021 10:05:52,⭐⭐⭐ (3),⭐ (1),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐ (1),⭐ (1)
9/29/2021 10:12:50,⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4)
9/29/2021 11:41:20,⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),No opinion,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion,No opinion,⭐⭐⭐⭐ (4)
9/29/2021 12:22:56,⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐ (3),⭐ (1),⭐⭐ (2),⭐ (1),⭐⭐⭐⭐ (4)
9/30/2021 0:55:50,⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
9/30/2021 2:06:06,⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐⭐ (5)
9/30/2021 8:24:15,⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐⭐ (4)
9/30/2021 15:45:18,⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐⭐ (4),⭐ (1),⭐ (1),⭐ (1)
9/30/2021 15:51:12,⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐⭐ (3)
9/30/2021 16:07:00,⭐ (1),No opinion,No opinion,⭐⭐ (2),No opinion,⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐⭐ (5),No opinion,⭐⭐⭐ (3)
9/30/2021 16:08:00,⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐ (2),⭐ (1),⭐ (1),⭐⭐ (2),⭐⭐⭐ (3),⭐ (1),⭐⭐ (2)
9/30/2021 16:11:00,⭐⭐⭐⭐⭐ (5),No opinion,⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐ (3),⭐⭐ (2),No opinion,⭐⭐⭐⭐ (4)
9/30/2021 16:19:07,⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐⭐ (5),⭐⭐ (2),No opinion,⭐⭐⭐ (3),⭐⭐⭐⭐ (4)
9/30/2021 16:20:02,⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐ (1),No opinion,⭐ (1),⭐ (1),⭐⭐ (2),⭐⭐⭐⭐ (4)
9/30/2021 16:30:07,⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐ (1),⭐⭐ (2)
9/30/2021 16:37:50,⭐⭐⭐ (3),⭐⭐⭐⭐ (4),No opinion,No opinion,No opinion,⭐⭐⭐⭐ (4),No opinion,No opinion,No opinion,No opinion
10/1/2021 0:08:42,⭐ (1),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐ (1),⭐ (1),⭐⭐⭐ (3),⭐⭐ (2)
10/1/2021 8:27:20,⭐⭐⭐⭐⭐ (5),No opinion,⭐⭐ (2),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐ (2)
10/1/2021 9:08:50,No opinion,⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐ (1),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐ (3)
10/1/2021 9:12:52,⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐ (3)
10/1/2021 14:48:38,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion,No opinion,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion,No opinion
10/1/2021 16:38:32,⭐⭐ (2),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5)
10/4/2021 9:25:13,⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐ (3),No opinion,⭐ (1),⭐⭐⭐ (3),⭐⭐⭐ (3),No opinion
10/4/2021 9:28:20,No opinion,No opinion,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion,⭐ (1),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐ (3)
10/4/2021 9:31:09,⭐⭐⭐⭐⭐ (5),No opinion,No opinion,⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),No opinion,No opinion,⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4)
10/4/2021 9:32:19,⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐ (2),⭐⭐ (2)
10/4/2021 9:47:15,⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐ (1),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐ (3),No opinion,No opinion
10/4/2021 10:07:29,⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),No opinion,No opinion,No opinion,No opinion
10/4/2021 10:09:14,⭐⭐⭐ (3),⭐⭐ (2),⭐⭐ (2),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4)
10/4/2021 10:09:20,⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),No opinion,⭐⭐ (2),⭐⭐ (2),No opinion,No opinion
10/4/2021 10:27:02,⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4),No opinion,⭐⭐⭐⭐⭐ (5)
10/4/2021 11:26:11,⭐⭐⭐ (3),⭐⭐⭐ (3),⭐⭐⭐⭐⭐ (5),⭐⭐⭐ (3),⭐⭐⭐⭐ (4),⭐⭐⭐ (3),⭐⭐ (2),⭐⭐⭐⭐⭐ (5),⭐⭐⭐⭐ (4),⭐⭐⭐⭐ (4)
10/4/2021 11:58:43,⭐⭐⭐⭐ (4),⭐ (1),⭐⭐⭐⭐⭐ (5),No opinion,⭐⭐⭐ (3),No opinion,No opinion,⭐⭐⭐ (3),No opinion,No opinion