"Timestamp","Ballot [Bishell Craig]","Ballot [DeRose Alfred]","Ballot [Kotrlík Jan]","Ballot [Lešková Eva]","Ballot [López (Monterde) Daniel]","Ballot [Moravec Pavel]","Ballot [Novella Tomáš]","Ballot [Přibyl Pavel]","Ballot [Staniševský Jiří]","Ballot [Weiss Tomáš]"
"2020/10/02 9:48:02 AM GMT+2","","","Choice #3","","","","","Choice #2","","Choice #1"
"2020/10/02 9:49:28 AM GMT+2","Choice #1","Choice #3","","","","","Choice #2","","",""
"2020/10/02 9:49:30 AM GMT+2","","Choice #1","Choice #3","Choice #2","","","","","",""
"2020/10/02 9:49:49 AM GMT+2","","","Choice #1","Choice #2","","Choice #3","","","",""
"2020/10/02 9:51:26 AM GMT+2","","Choice #2","","","","","Choice #3","","","Choice #1"
"2020/10/02 9:51:27 AM GMT+2","Choice #3","","Choice #2","","","","","","Choice #1",""
"2020/10/02 9:51:28 AM GMT+2","Choice #3","","Choice #1","","","","","","Choice #2",""
"2020/10/02 9:54:16 AM GMT+2","Choice #3","","","","","","","","Choice #2","Choice #1"
"2020/10/02 9:55:10 AM GMT+2","","Choice #1","Choice #2","Choice #3","","","","","",""
"2020/10/02 9:56:07 AM GMT+2","Choice #2","","","","Choice #1","","","","Choice #3",""
"2020/10/02 9:58:11 AM GMT+2","","","","Choice #3","","","","Choice #2","","Choice #1"
"2020/10/02 9:59:48 AM GMT+2","","Choice #1","Choice #2","","","","","Choice #3","",""
"2020/10/02 10:00:44 AM GMT+2","Choice #1","","","","Choice #3","","","","Choice #2",""
"2020/10/02 10:01:19 AM GMT+2","Choice #3","","","Choice #1","","","Choice #2","","",""
"2020/10/02 10:04:10 AM GMT+2","","","Choice #3","Choice #2","","","Choice #1","","",""
"2020/10/02 10:04:49 AM GMT+2","","","Choice #1","","","","","Choice #2","Choice #3",""
"2020/10/02 10:06:01 AM GMT+2","","","Choice #2","","","","","","Choice #1","Choice #3"
"2020/10/02 10:06:26 AM GMT+2","","","Choice #3","","","","","Choice #2","","Choice #1"
"2020/10/02 10:10:48 AM GMT+2","","Choice #1","Choice #3","","","","","","Choice #2",""
"2020/10/02 10:11:27 AM GMT+2","","Choice #3","","","","","","Choice #2","","Choice #1"
"2020/10/02 10:14:53 AM GMT+2","","","Choice #1","","","","","Choice #2","Choice #3",""
"2020/10/02 10:15:59 AM GMT+2","","","Choice #2","Choice #3","","","Choice #1","","",""
"2020/10/02 10:16:16 AM GMT+2","","","","Choice #1","","Choice #2","","","","Choice #3"
"2020/10/02 10:18:29 AM GMT+2","","","Choice #2","","","","","Choice #1","Choice #3",""
"2020/10/02 10:24:43 AM GMT+2","Choice #3","Choice #2","","Choice #1","","","","","",""
"2020/10/02 10:29:07 AM GMT+2","","","Choice #3","Choice #2","","","Choice #1","","",""
"2020/10/02 10:30:35 AM GMT+2","","","Choice #1","","","","","Choice #3","Choice #2",""
"2020/10/02 10:31:49 AM GMT+2","","","Choice #1","","","","","Choice #2","","Choice #3"
"2020/10/02 10:37:34 AM GMT+2","","Choice #3","","","Choice #1","","","","","Choice #2"
"2020/10/02 10:40:53 AM GMT+2","Choice #1","","Choice #3","Choice #2","","","","","",""
"2020/10/02 10:43:19 AM GMT+2","","","","","Choice #3","","","Choice #2","","Choice #1"
"2020/10/02 10:50:19 AM GMT+2","","","","Choice #1","","","","Choice #2","Choice #3",""
"2020/10/02 10:56:12 AM GMT+2","","","Choice #3","Choice #2","","","","","Choice #1",""
"2020/10/02 10:59:05 AM GMT+2","","","","Choice #1","","Choice #2","","Choice #3","",""
"2020/10/02 10:59:54 AM GMT+2","","","","Choice #1","","","","Choice #2","","Choice #3"
"2020/10/02 11:05:16 AM GMT+2","","","","Choice #3","","","","","Choice #1","Choice #2"
"2020/10/02 11:14:17 AM GMT+2","","","Choice #2","Choice #3","","","","","","Choice #1"
"2020/10/02 11:26:18 AM GMT+2","","","","Choice #2","","","","Choice #1","Choice #3",""
"2020/10/02 11:34:26 AM GMT+2","","","","","","Choice #2","","Choice #3","Choice #1",""
"2020/10/02 11:39:40 AM GMT+2","Choice #1","","","","","","","","Choice #2","Choice #3"
"2020/10/02 11:45:54 AM GMT+2","","","","","","Choice #1","","Choice #3","Choice #2",""
"2020/10/02 11:46:26 AM GMT+2","Choice #2","","Choice #1","","Choice #3","","","","",""
"2020/10/02 11:55:23 AM GMT+2","Choice #3","","","Choice #2","","","","","Choice #1",""
"2020/10/02 12:10:28 PM GMT+2","","","","Choice #2","","","","Choice #3","Choice #1",""
"2020/10/02 12:15:15 PM GMT+2","Choice #3","Choice #2","","","","","","Choice #1","",""
"2020/10/02 12:35:16 PM GMT+2","","","Choice #2","","","","","","Choice #3","Choice #1"
"2020/10/02 12:39:16 PM GMT+2","","","Choice #2","Choice #1","","","","Choice #3","",""
"2020/10/02 1:03:00 PM GMT+2","","","Choice #3","","","Choice #2","","","Choice #1",""
"2020/10/02 1:21:02 PM GMT+2","","","","","","Choice #1","","Choice #2","Choice #3",""
"2020/10/02 1:28:04 PM GMT+2","Choice #1","","","Choice #2","","","","Choice #3","",""
"2020/10/02 2:47:08 PM GMT+2","","","Choice #2","Choice #1","","","","Choice #3","",""
"2020/10/02 7:20:19 PM GMT+2","Choice #1","Choice #3","","","","","Choice #2","","",""
"2020/10/03 9:56:57 PM GMT+2","Choice #2","","","Choice #3","","","","","Choice #1",""
"2020/10/05 8:06:09 AM GMT+2","","Choice #2","","Choice #3","","","","","","Choice #1"
"2020/10/05 8:29:56 AM GMT+2","Choice #3","","","","","","","","Choice #2","Choice #1"
"2020/10/05 9:28:53 AM GMT+2","Choice #2","","","Choice #1","","Choice #3","","","",""
"2020/10/05 9:38:21 AM GMT+2","","Choice #2","","","","","Choice #3","","","Choice #1"
"2020/10/05 9:39:23 AM GMT+2","","","","Choice #1","","","","Choice #2","Choice #3",""
"2020/10/05 9:50:26 AM GMT+2","Choice #3","","Choice #1","Choice #2","","","","","",""
"2020/10/05 10:06:38 AM GMT+2","Choice #1","Choice #2","","Choice #3","","","","","",""
"2020/10/05 10:06:42 AM GMT+2","","","Choice #1","","","Choice #2","Choice #3","","",""
"2020/10/05 10:17:23 AM GMT+2","","Choice #2","Choice #1","","","","Choice #3","","",""
"2020/10/05 10:23:02 AM GMT+2","","","","","","","","Choice #3","Choice #2","Choice #1"
"2020/10/05 10:43:17 AM GMT+2","Choice #3","","","Choice #2","Choice #1","","","","",""
"2020/10/05 10:57:54 AM GMT+2","","Choice #2","Choice #1","","","","","","Choice #3",""
"2020/10/05 12:11:44 PM GMT+2","","","","Choice #1","Choice #2","Choice #3","","","",""