"Timestamp","Ballot [Bartůněk Jan]","Ballot [DeRose Alfred]","Ballot [Gray Andy]","Ballot [Kubát Petr]","Ballot [López (Monterde) Daniel]","Ballot [McEwan Eva]","Ballot [Moravec Pavel]","Ballot [Přibyl Pavel]","Ballot [Trent Griffin]","Ballot [Weiss Tomáš]"
"2021/03/23 12:39:14 PM GMT+2","Choice #2","","","","","Choice #1","","Choice #3","",""
"2021/03/23 12:39:40 PM GMT+2","","","","","Choice #2","","","Choice #3","","Choice #1"
"2021/03/23 12:39:44 PM GMT+2","Choice #3","","","","","","","","Choice #2","Choice #1"
"2021/03/23 12:40:09 PM GMT+2","","","","Choice #2","Choice #3","","","Choice #1","",""
"2021/03/23 12:40:15 PM GMT+2","","Choice #3","","","Choice #2","","","","","Choice #1"
"2021/03/23 12:40:41 PM GMT+2","Choice #2","","","Choice #1","","","","Choice #3","",""
"2021/03/23 12:40:54 PM GMT+2","","","","Choice #3","Choice #1","Choice #2","","","",""
"2021/03/23 12:41:02 PM GMT+2","","","","Choice #3","Choice #2","","","Choice #1","",""
"2021/03/23 12:43:37 PM GMT+2","","","","","","Choice #1","Choice #3","Choice #2","",""
"2021/03/23 12:44:42 PM GMT+2","Choice #2","","","","Choice #3","","","Choice #1","",""
"2021/03/23 12:45:07 PM GMT+2","","","","","","Choice #1","","Choice #3","","Choice #2"
"2021/03/23 12:46:11 PM GMT+2","Choice #3","","","","Choice #2","","","","","Choice #1"
"2021/03/23 12:48:55 PM GMT+2","","","","","Choice #1","Choice #3","","","","Choice #2"
"2021/03/23 12:48:59 PM GMT+2","","","","","","Choice #1","","Choice #3","","Choice #2"
"2021/03/23 12:49:24 PM GMT+2","Choice #1","","","","","Choice #2","","","","Choice #3"
"2021/03/23 12:52:25 PM GMT+2","","","","","","Choice #1","","Choice #2","","Choice #3"
"2021/03/23 12:52:53 PM GMT+2","","","","","","Choice #3","","Choice #1","","Choice #2"
"2021/03/23 12:57:15 PM GMT+2","","Choice #1","","","Choice #2","","","","Choice #3",""
"2021/03/23 12:57:17 PM GMT+2","","Choice #3","","Choice #1","","","","Choice #2","",""
"2021/03/23 12:57:25 PM GMT+2","Choice #3","","","","","Choice #1","","","","Choice #2"
"2021/03/23 12:57:33 PM GMT+2","Choice #3","","","Choice #2","","Choice #1","","","",""
"2021/03/23 1:13:11 PM GMT+2","","","","","Choice #1","","","Choice #2","","Choice #3"
"2021/03/23 1:17:50 PM GMT+2","Choice #3","","","","","Choice #1","","Choice #2","",""
"2021/03/23 1:19:18 PM GMT+2","","Choice #3","","","","Choice #1","","Choice #2","",""
"2021/03/23 1:29:05 PM GMT+2","","Choice #1","","","","","","Choice #2","Choice #3",""
"2021/03/23 1:33:46 PM GMT+2","","","","","","Choice #1","Choice #3","Choice #2","",""
"2021/03/23 1:39:17 PM GMT+2","","","","","","","Choice #3","Choice #2","","Choice #1"
"2021/03/23 1:43:45 PM GMT+2","","","","Choice #1","Choice #3","Choice #2","","","",""
"2021/03/23 1:47:28 PM GMT+2","Choice #2","Choice #3","","","","","","","","Choice #1"
"2021/03/23 1:50:31 PM GMT+2","Choice #3","","","","","Choice #2","","Choice #1","",""
"2021/03/23 2:03:44 PM GMT+2","","Choice #1","","","Choice #2","","","","","Choice #3"
"2021/03/23 2:15:02 PM GMT+2","","Choice #2","","Choice #1","","Choice #3","","","",""
"2021/03/23 2:15:32 PM GMT+2","Choice #1","","","Choice #2","","","","Choice #3","",""
"2021/03/23 2:20:37 PM GMT+2","Choice #1","","","","","","","Choice #2","","Choice #3"
"2021/03/23 2:41:35 PM GMT+2","Choice #2","","","","Choice #1","","","","Choice #3",""
"2021/03/23 2:45:04 PM GMT+2","","","","","","Choice #3","","Choice #2","Choice #1",""
"2021/03/23 2:48:00 PM GMT+2","Choice #1","","","","","Choice #2","Choice #3","","",""
"2021/03/23 5:15:30 PM GMT+2","","Choice #1","","","","Choice #3","","","","Choice #2"
"2021/03/23 5:37:36 PM GMT+2","","","","Choice #1","Choice #2","Choice #3","","","",""
"2021/03/23 5:39:31 PM GMT+2","Choice #1","","","","","Choice #3","","Choice #2","",""
"2021/03/23 6:32:31 PM GMT+2","","","","","","Choice #3","","Choice #1","Choice #2",""
"2021/03/23 7:05:35 PM GMT+2","","","","","","Choice #1","","Choice #3","","Choice #2"
"2021/03/23 10:04:07 PM GMT+2","","","","Choice #1","Choice #2","Choice #3","","","",""
"2021/03/23 10:54:37 PM GMT+2","","Choice #2","","","","Choice #3","","","","Choice #1"
"2021/03/24 9:20:03 AM GMT+2","Choice #3","","","Choice #2","","Choice #1","","","",""
"2021/03/24 11:26:14 AM GMT+2","","Choice #3","","","Choice #1","Choice #2","","","",""
"2021/03/24 12:22:13 PM GMT+2","","Choice #2","","","Choice #1","Choice #3","","","",""
"2021/03/25 1:29:24 PM GMT+2","","","Choice #3","","Choice #2","Choice #1","","","",""
"2021/03/27 3:08:34 PM GMT+2","","","","Choice #1","Choice #2","","","Choice #3","",""
"2021/03/30 10:02:55 AM GMT+2","Choice #3","","","","Choice #1","","","","","Choice #2"
"2021/03/30 10:19:39 AM GMT+2","Choice #2","","","","Choice #3","","","Choice #1","",""
"2021/03/30 12:37:08 PM GMT+2","Choice #3","","","","","Choice #2","","Choice #1","",""